Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Low-Cost, Robust, High-Activity Water Splitting Electrodes",https://arena.gov.au/projects/low-cost-robust-high-activity-water-splitting-electrodes/,"Hydrogen energy","The Water Splitting Electrodes project will develop scalable methods for the fabrication of efficient, low-cost and robust electrodes for Hydrogen production from renewable energy sources via electrochemical water splitting.
",$1.05m,$3.69m,"Monash Energy Materials and System Institute (MEMSI)","Advancing Renewables Program",01/08/2018,"Clayton, Victoria","University of Wollongong",Past
"Ammonia Production from Renewables",https://arena.gov.au/projects/ammonia-production-from-renewables/,"Hydrogen energy","The project will develop high-performing electrodes for direct electrochemical conversion of atmospheric nitrogen to ammonia – a readily exportable carrier of renewable energy.
",$915k,$2.73m,"Monash University","Advancing Renewables Program",01/08/2018,"Clayton, Victoria",None,Past
"QUT Hydrogen Process Research & Development",https://arena.gov.au/projects/qut-hydrogen-process-research-and-development/,"Hydrogen energy","The QUT Hydrogen Process Research &amp; Development project develops a scalable and systematic process to evaluate the viability of decentralised and regional-scale renewable energy hybrid systems to generate hydrogen from sustainable resources.
",$3.65m,$8.04m,"Queensland University of Technology","Advancing Renewables Program",01/08/2018,"Queensland, Victoria","Swinburne University of Technology, Sumitomo Electric Industries, Griffith University, Energy Developments Limited, CS Energy",Past
"Proton Flow Reactor System",https://arena.gov.au/projects/proton-flow-reactor-system/,"Hydrogen energy","The Proton Flow Reactor System project aims to develop an integrated system for storage of electricity from renewable energy and export the stored energy as hydrogen within hydrogenated carbon-based material.
",$805k,$1.77m,"RMIT University","Advancing Renewables Program",01/08/2018,"Melbourne, Victoria","Eldor Corporation, Institute for Carbon-Neutral Energy Research, Kyushu University",Past
"Enabling Efficient, Affordable & Robust Use of Renewable Hydrogen",https://arena.gov.au/projects/enabling-efficient-affordable-robust-renewable-hydrogen/,"Hydrogen energy","This project will demonstrate the performance and the value of highly efficient, reciprocating engines operating on renewable hydrogen. These engines are intended to be the most efficient, hydrogen fuelled engines ever developed, with supporting research enabling this goal. We will then analyse how these engines are an important part of different, economically optimal, integrated systems that generate, transport or use renewable hydrogen.
",$2.59m,$8.61m,"University of Melbourne","Advancing Renewables Program",01/08/2018,"Melbourne, Victoria","University of New South Wales, MAN Diesel & Turbo SE, Energy Power Systems Australia Pty Ltd, Continental Automotive Systems Inc, Energy Australia",Past
"Highly Efficient & Low Cost Photovoltaic-Electrolysis System",https://arena.gov.au/projects/highly-efficient-and-low-cost-photovoltaic-electrolysis-pve-system-to-generate-hydrogen-by-harvesting-the-full-spectrum-of-sunlight/,"Hydrogen energy","The Highly Efficient &amp; Low Cost Photovoltaic-Electrolysis System project is a promising approach to produce renewable hydrogen (H2) for export from sunlight and water. The main obstacle to utilising PVE to produce H2 is the high cost and modest efficiency.
",$1.31m,$5.04m,"University of New South Wales","Advancing Renewables Program",01/08/2018,"New South Wales","Beijing Zhongchao Haiqi Technology, RayGen Resources, Shenzhen Kohodo Sunshine Renewable Energy Co.",Past
"Waste Biomass to Renewable Hydrogen",https://arena.gov.au/projects/waste-biomass-to-renewable-hydrogen/,"Hydrogen energy","Extracting hydrogen from biomass represents a valuable approach by which a waste organic stream can be converted into hydrogen (or hydrogen-carriers) for downstream use or as an exportable commodity.
",$1.04m,$2.54m,"University of New South Wales","Advancing Renewables Program",01/08/2018,"New South Wales","Beijing Origin Water Technology, Apricus Energy",Past
"UWA Methanol from Syngas Research & Development",https://arena.gov.au/projects/uwa-methanol-from-syngas-research-and-development/,"Hydrogen energy","Methanol is an excellent hydrogen carrier. It can be easily manufactured from renewable resources, easily transported and stored in liquid form, and can be readily converted to hydrogen at the point of use or used directly as a clean and low-carbon transport fuel.
",$1.03m,$2.85m,"The University of Western Australia","Advancing Renewables Program",01/08/2018,"Western Australia","Anergy Pty",Past
"Lake Bonney Battery Energy Storage System",https://arena.gov.au/projects/lake-bonney-battery-energy-storage-system/,"Battery storage","The Lake Bonney Battery Energy Storage System project involves the installation, testing and commercial operation of a 25MW / 52MWh Tesla battery energy storage system that will be co-located with the existing 278.5MW Lake Bonney wind farm in South Australia.
",$5m,$41.6m,"Infigen Energy","Advancing Renewables Program",09/07/2018,"Mount Gambier, South Australia",None,Past
"SolPod Solar PV Demonstration Project",https://arena.gov.au/projects/solpod-solar-pv-demonstration-project/,"Solar energy","Solpods are innovative solar racking systems designed for large flat roofs, typical of commercial or industrial buildings. The project aims to increase the uptake of solar PV in the commercial and industrial sectors by offering commercial tenants a cost-competitive solar system that is able to be redeployed elsewhere.
",$975k,$5.06m,"Solpod Pty Ltd","Advancing Renewables Program",09/07/2018,"New South Wales, Victoria",None,Past
"Ethtec Cellulosic Ethanol Pilot Plant",https://arena.gov.au/projects/ethtec-cellulosic-ethanol-pilot-plant/,"Bioenergy / Energy from waste","The Ethtec Cellulosic Ethanol Pilot Plant project will demonstrate Ethtec’s innovative and cost-effective approach to the production of cellulosic ethanol and other renewable chemicals through the construction of a Pilot Plant.
",$11.96m,$31.98m,"Ethanol Technologies","Advancing Renewables Program",02/07/2018,"Muswellbrook, New South Wales","Apace Research, University of Newcastle ",Current
"Enerverter Project Aztec",https://arena.gov.au/projects/enerverter-project-aztec/,"Distributed energy resources","The Enerverter Project Aztec project by Restech is a small, packaged power inverter that can manage and control simultaneous power sources (including AC mains, battery power and solar PV) to operate industrial sized motors directly from PV with grid back up.
",$700k,$1.55m,ResTech,"Advancing Renewables Program",21/06/2018,"New South Wales, Newcastle","Ampcontrol, Muswellbrook Shire Council, Aurecon",Past
"Battery Storage System Performance Standard",https://arena.gov.au/projects/battery-storage-system-performance-standard/,"Battery storage","Currently, it is difficult to fairly compare the performance of commercially available battery storage equipment (BSE) on the market, as there is no common standard for how performance characteristics are to be measured and reported.
",$1.44m,$3.16m,"DNV-GL Australia Pty Ltd","Advancing Renewables Program",21/06/2018,"Melbourne, Victoria","Commonwealth Scientific and Industrial Research Organisation (CSIRO), Smart Energy Council, Deakin University, The State of Victoria as represented by the Department of Environment, Land, Water and Planning",Past
"Repurposing the Tarraleah Hydropower Scheme",https://arena.gov.au/projects/repurposing-the-tarraleah-hydropower-scheme/,"Hydropower / Pumped Hydro Energy Storage","The Repurposing the Tarraleah Hydropower Scheme project is a $5 million feasibility study on repurposing the Tarraleah hydropower scheme to produce more energy, more flexibly in the future, based on a preferred capacity option identified in the pre-feasibility study.
",$2.5m,$5m,"Hydro Tasmania","Advancing Renewables Program",18/06/2018,Tasmania,None,Past
"Hardwood Residue Bio-Refinery Feasibility Study",https://arena.gov.au/projects/hardwood-residue-bio-refinery-feasibility-study/,"Bioenergy / Energy from waste","The Hardwood Residue Bio-Refinery Feasibility Study explored the viability of converting hardwood sawmill residue into higher value energy products.
",$500k,$1.2m,"Boral Timber","Advancing Renewables Program",13/06/2018,"New South Wales",None,Past
"Technology Collaboration Program for Demand Side Management",https://arena.gov.au/projects/technology-collaboration-program-for-demand-side-management/,"Distributed energy resources","A study of enabling technologies to enhance Australian participation in the International Energy Agency (IEA) Technology Collaboration Program (TCP) for Demand Side Management.
",$501k,$1.1m,"Monash University","International Engagement Program",05/06/2018,Victoria,None,Past
"NSW Schools Energy Productivity Program (SEPP) Pilot",https://arena.gov.au/projects/nsw-schools-energy-productivity-program-sepp-pilot/,"Solar energy","The NSW Schools Energy Productivity (SEPP) program ran from April 2018 – June 2019 and demonstrated the benefits of integrating energy productivity improvements and renewable energy across NSW schools. The aim was to accelerate widespread adoption in schools and leave a legacy of increased skills, capacity and knowledge to extend beyond the pilot.
",$500k,$1.1m,"ERM Power","Advancing Renewables Program",01/06/2018,"New South Wales","Schools Infrastructure NSW",Past
"Bioenergy Australia Participation in the IEA TCP on Bioenergy",https://arena.gov.au/projects/bioenergy-australia-participation-in-the-iea-tcp-on-bioenergy/,"Bioenergy / Energy from waste","Bioenergy Australia will represent Australia on the International Energy Agency (IEA) Technology Collaboration Programme (TCP) on Bioenergy.
",$885k,$2.17m,"Bioenergy Australia","International Engagement Program",29/05/2018,"Australian Capital Territory, Canberra",None,Past
"Cultana Pumped Hydro Energy Storage Phase 2",https://arena.gov.au/projects/cultana-pumped-hydro-energy-storage-phase-2/,"Hydropower / Pumped Hydro Energy Storage","EnergyAustralia and Arup are proposing the development of a 225 MW pumped hydro energy storage project using seawater near Port Augusta, South Australia.
",$500k,$9m,"Energy Australia Development Pty Ltd","Advancing Renewables Program",24/05/2018,"Cultana, South Australia",ARUP,Past
